20001011,3327543321,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001012,3327543322,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001013,3327543323,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001014,3327543324,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001015,3327543325,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001016,3327543326,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001017,3327543327,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001018,3327543328,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001019,3327543329,200,10000,20,123456789,12345678,200,200,4000,100,100,500000,19901010,100,2,80,80,100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,5,5,5,5,5
20001011,3327543130,199,9999,19,123456780,12345670,199,199,3999,99,99,400000,19901020,99,1,79,79,99,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,4,4,4,4,4
20001012,3327543131,199,9999,19,123456780,12345670,199,199,3999,99,99,400000,19901020,99,1,79,79,99,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,4,4,4,4,4
20001013,3327543132,199,9999,19,123456780,12345670,199,199,3999,99,99,400000,19901020,99,1,79,79,99,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,4,4,4,4,4
